id,categorie,sous_categorie,difficulte,question,choix_a,choix_b,choix_c,choix_d,bonne_reponse,explication,reference,statut_revision,tags
DRAFT-0013,Pharmacologie et thérapeutique,Cardiologie,moyen,Quelle proposition correspond le mieux à Inhibiteurs de l'enzyme de conversion ?,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,D,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0014,Pharmacologie et thérapeutique,Cardiologie,facile,Quel élément est prioritaire lorsque l'on évalue Inhibiteurs de l'enzyme de conversion ?,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,C,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0015,Pharmacologie et thérapeutique,Cardiologie,facile,Quelle affirmation est la plus juste au sujet de Inhibiteurs de l'enzyme de conversion ?,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,B,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0016,Pharmacologie et thérapeutique,Cardiologie,moyen,"Pour une révision rapide, quelle réponse décrit correctement Inhibiteurs de l'enzyme de conversion ?",une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,A,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0017,Pharmacologie et thérapeutique,Cardiologie,difficile,Quel choix serait attendu pour une question centrée sur Inhibiteurs de l'enzyme de conversion ?,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,D,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0018,Pharmacologie et thérapeutique,Cardiologie,moyen,Quelle notion est associée de façon pertinente à Inhibiteurs de l'enzyme de conversion ?,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,C,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0019,Pharmacologie et thérapeutique,Cardiologie,facile,Quelle réponse doit être privilégiée concernant Inhibiteurs de l'enzyme de conversion ?,ils s'administrent uniquement par voie inhalée,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,B,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0020,Pharmacologie et thérapeutique,Cardiologie,facile,Quel rappel est utile pour maîtriser Inhibiteurs de l'enzyme de conversion ?,une toux sèche persistante peut être un effet indésirable,ils provoquent toujours une hypoglycémie,ils sont des antibiotiques,ils s'administrent uniquement par voie inhalée,A,une toux sèche persistante peut être un effet indésirable. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,inhibiteurs de l'enzyme de conversion"
DRAFT-0021,Pharmacologie et thérapeutique,Cardiologie,difficile,Quel énoncé est correct concernant Bêtabloquants ?,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,D,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0022,Pharmacologie et thérapeutique,Cardiologie,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de Bêtabloquants ?",ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,C,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0023,Pharmacologie et thérapeutique,Cardiologie,facile,Quelle proposition correspond le mieux à Bêtabloquants ?,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,B,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0024,Pharmacologie et thérapeutique,Cardiologie,facile,Quel élément est prioritaire lorsque l'on évalue Bêtabloquants ?,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,A,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0025,Pharmacologie et thérapeutique,Cardiologie,moyen,Quelle affirmation est la plus juste au sujet de Bêtabloquants ?,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,D,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0026,Pharmacologie et thérapeutique,Cardiologie,difficile,"Pour une révision rapide, quelle réponse décrit correctement Bêtabloquants ?",ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,C,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0027,Pharmacologie et thérapeutique,Cardiologie,moyen,Quel choix serait attendu pour une question centrée sur Bêtabloquants ?,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,B,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0028,Pharmacologie et thérapeutique,Cardiologie,facile,Quelle notion est associée de façon pertinente à Bêtabloquants ?,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,A,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0029,Pharmacologie et thérapeutique,Cardiologie,facile,Quelle réponse doit être privilégiée concernant Bêtabloquants ?,ils augmentent toujours la fréquence cardiaque,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,D,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0030,Pharmacologie et thérapeutique,Cardiologie,moyen,Quel rappel est utile pour maîtriser Bêtabloquants ?,ils sont sans effet cardiovasculaire,ils neutralisent directement l'acidité gastrique,ils peuvent masquer certains signes adrénergiques d'hypoglycémie,ils augmentent toujours la fréquence cardiaque,C,ils peuvent masquer certains signes adrénergiques d'hypoglycémie. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,cardiologie,bêtabloquants"
DRAFT-0031,Pharmacologie et thérapeutique,Douleur,moyen,Quel énoncé est correct concernant AINS ?,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,B,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0032,Pharmacologie et thérapeutique,Douleur,facile,"Dans une situation d'examen, quel point faut-il retenir à propos de AINS ?",ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,A,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0033,Pharmacologie et thérapeutique,Douleur,facile,Quelle proposition correspond le mieux à AINS ?,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,D,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0034,Pharmacologie et thérapeutique,Douleur,moyen,Quel élément est prioritaire lorsque l'on évalue AINS ?,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,C,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0035,Pharmacologie et thérapeutique,Douleur,difficile,Quelle affirmation est la plus juste au sujet de AINS ?,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,B,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0036,Pharmacologie et thérapeutique,Douleur,moyen,"Pour une révision rapide, quelle réponse décrit correctement AINS ?",ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,A,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0037,Pharmacologie et thérapeutique,Douleur,facile,Quel choix serait attendu pour une question centrée sur AINS ?,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,D,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0038,Pharmacologie et thérapeutique,Douleur,facile,Quelle notion est associée de façon pertinente à AINS ?,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,C,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0039,Pharmacologie et thérapeutique,Douleur,moyen,Quelle réponse doit être privilégiée concernant AINS ?,ils n'ont aucune interaction clinique,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,B,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0040,Pharmacologie et thérapeutique,Douleur,difficile,Quel rappel est utile pour maîtriser AINS ?,ils peuvent augmenter le risque digestif et rénal selon le patient,ils sont toujours indiqués en insuffisance rénale sévère,ils remplacent une antibiothérapie documentée,ils n'ont aucune interaction clinique,A,ils peuvent augmenter le risque digestif et rénal selon le patient. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,ains"
DRAFT-0041,Pharmacologie et thérapeutique,Douleur,facile,Quel énoncé est correct concernant Paracétamol ?,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,D,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0042,Pharmacologie et thérapeutique,Douleur,facile,"Dans une situation d'examen, quel point faut-il retenir à propos de Paracétamol ?",il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,C,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0043,Pharmacologie et thérapeutique,Douleur,moyen,Quelle proposition correspond le mieux à Paracétamol ?,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,B,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0044,Pharmacologie et thérapeutique,Douleur,difficile,Quel élément est prioritaire lorsque l'on évalue Paracétamol ?,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,A,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0045,Pharmacologie et thérapeutique,Douleur,moyen,Quelle affirmation est la plus juste au sujet de Paracétamol ?,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,D,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0046,Pharmacologie et thérapeutique,Douleur,facile,"Pour une révision rapide, quelle réponse décrit correctement Paracétamol ?",il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,C,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0047,Pharmacologie et thérapeutique,Douleur,facile,Quel choix serait attendu pour une question centrée sur Paracétamol ?,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,B,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0048,Pharmacologie et thérapeutique,Douleur,moyen,Quelle notion est associée de façon pertinente à Paracétamol ?,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,A,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0049,Pharmacologie et thérapeutique,Douleur,difficile,Quelle réponse doit être privilégiée concernant Paracétamol ?,la toxicité principale est l'ototoxicité immédiate,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,D,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0050,Pharmacologie et thérapeutique,Douleur,moyen,Quel rappel est utile pour maîtriser Paracétamol ?,il est toujours anti-inflammatoire puissant,il impose une surveillance de l'INR chez tous les patients,le risque hépatique augmente en cas de surdosage,la toxicité principale est l'ototoxicité immédiate,C,le risque hépatique augmente en cas de surdosage. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,douleur,paracétamol"
DRAFT-0051,Pharmacologie et thérapeutique,Inflammation,facile,Quel énoncé est correct concernant Corticostéroïdes systémiques ?,ils s'utilisent uniquement comme antiseptiques,une interruption brutale peut poser problème après un traitement prolongé,ils n'ont aucun effet métabolique,ils sont dépourvus d'effet immunologique,B,une interruption brutale peut poser problème après un traitement prolongé. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,inflammation,corticostéroïdes systémiques"
DRAFT-0052,Pharmacologie et thérapeutique,Inflammation,moyen,"Dans une situation d'examen, quel point faut-il retenir à propos de Corticostéroïdes systémiques ?",une interruption brutale peut poser problème après un traitement prolongé,ils n'ont aucun effet métabolique,ils sont dépourvus d'effet immunologique,ils s'utilisent uniquement comme antiseptiques,A,une interruption brutale peut poser problème après un traitement prolongé. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,inflammation,corticostéroïdes systémiques"
DRAFT-0053,Pharmacologie et thérapeutique,Inflammation,difficile,Quelle proposition correspond le mieux à Corticostéroïdes systémiques ?,ils n'ont aucun effet métabolique,ils sont dépourvus d'effet immunologique,ils s'utilisent uniquement comme antiseptiques,une interruption brutale peut poser problème après un traitement prolongé,D,une interruption brutale peut poser problème après un traitement prolongé. Cette question est générée comme brouillon et doit être vérifiée avant un usage sérieux.,Référence clinique à vérifier: pharmacologie générale et recommandations suisses applicables,a_verifier,"généré,inflammation,corticostéroïdes systémiques"
